iter	Passed	Remaining
0	1	1813
1	3	1818
2	5	1752
3	6	1741
4	8	1743
5	10	1720
6	12	1709
7	13	1713
8	15	1704
9	17	1696
10	18	1692
11	20	1686
12	22	1678
13	23	1681
14	25	1677
15	27	1670
16	28	1663
17	30	1655
18	32	1655
19	33	1653
20	35	1647
21	36	1642
22	38	1644
23	40	1639
24	41	1634
25	43	1630
26	45	1626
27	46	1622
28	48	1622
29	49	1615
30	51	1608
31	52	1603
32	54	1599
33	56	1597
34	57	1596
35	59	1587
36	60	1578
37	62	1572
38	63	1566
39	64	1559
40	66	1555
41	67	1549
42	69	1543
43	70	1539
44	72	1535
45	73	1531
46	75	1524
47	76	1518
48	78	1515
49	79	1511
50	81	1508
51	82	1502
52	83	1498
53	85	1494
54	86	1492
55	88	1489
56	89	1485
57	91	1480
58	92	1475
59	93	1471
60	95	1468
61	96	1463
62	98	1460
63	99	1457
64	101	1453
65	102	1449
66	103	1447
67	105	1443
68	106	1440
69	108	1437
70	109	1433
71	110	1430
72	112	1427
73	113	1425
74	115	1422
75	116	1419
76	118	1417
77	119	1414
78	121	1411
79	122	1407
80	123	1404
81	125	1401
82	126	1401
83	128	1400
84	129	1397
85	131	1394
86	132	1392
87	134	1392
88	135	1390
89	137	1390
90	138	1387
91	140	1388
92	142	1385
93	143	1383
94	144	1380
95	146	1378
96	148	1383
97	150	1382
98	151	1381
99	153	1380
100	155	1382
101	157	1383
102	158	1382
103	160	1381
104	161	1379
105	163	1377
106	164	1375
107	166	1374
108	168	1374
109	169	1372
110	171	1374
111	173	1372
112	174	1370
113	175	1367
114	177	1366
115	179	1364
116	180	1362
117	182	1362
118	183	1360
119	185	1361
120	187	1361
121	188	1359
122	190	1358
123	192	1356
124	193	1356
125	195	1354
126	196	1352
127	198	1350
128	199	1349
129	201	1347
130	203	1347
131	204	1345
132	206	1343
133	207	1342
134	209	1341
135	210	1339
136	212	1338
137	213	1336
138	215	1334
139	216	1332
140	218	1331
141	219	1328
142	221	1326
143	223	1326
144	224	1325
145	226	1323
146	227	1321
147	229	1319
148	231	1319
149	232	1318
150	234	1318
151	235	1316
152	237	1314
153	239	1313
154	240	1311
155	241	1309
156	243	1307
157	245	1306
158	246	1304
159	248	1303
160	249	1301
161	251	1299
162	252	1298
163	254	1297
164	256	1296
165	257	1294
166	259	1293
167	260	1292
168	262	1289
169	263	1288
170	265	1286
171	266	1284
172	268	1283
173	270	1282
174	271	1280
175	273	1278
176	274	1277
177	276	1275
178	277	1273
179	279	1272
180	280	1270
181	282	1268
182	283	1267
183	285	1265
184	286	1264
185	288	1262
186	289	1260
187	291	1258
188	292	1257
189	294	1255
190	296	1253
191	297	1252
192	299	1251
193	300	1249
194	302	1247
195	303	1245
196	305	1244
197	306	1243
198	308	1241
199	310	1240
200	311	1238
201	313	1237
202	315	1236
203	316	1235
204	318	1233
205	319	1232
206	321	1230
207	322	1229
208	324	1227
209	326	1226
210	327	1224
211	329	1223
212	330	1222
213	332	1221
214	334	1220
215	335	1218
216	337	1216
217	338	1214
218	340	1212
219	341	1211
220	343	1209
221	344	1208
222	346	1206
223	347	1203
224	348	1202
225	350	1200
226	351	1198
227	353	1196
228	354	1194
229	356	1192
230	357	1190
231	359	1188
232	360	1186
233	362	1185
234	363	1183
235	365	1181
236	366	1180
237	367	1178
238	369	1176
239	370	1174
240	372	1172
241	373	1170
242	375	1169
243	376	1167
244	378	1165
245	379	1164
246	381	1161
247	382	1160
248	383	1157
249	385	1155
250	386	1153
251	387	1151
252	389	1149
253	390	1147
254	392	1145
255	393	1144
256	395	1142
257	396	1140
258	398	1139
259	399	1138
260	401	1136
261	403	1135
262	404	1133
263	406	1132
264	408	1131
265	410	1132
266	412	1132
267	414	1132
268	415	1130
269	417	1129
270	419	1127
271	420	1126
272	422	1125
273	424	1123
274	425	1122
275	427	1121
276	429	1120
277	430	1118
278	432	1117
279	433	1115
280	435	1114
281	437	1113
282	438	1111
283	440	1110
284	441	1108
285	443	1107
286	445	1105
287	446	1104
288	448	1103
289	450	1101
290	451	1100
291	453	1099
292	455	1097
293	456	1096
294	458	1094
295	459	1093
296	461	1091
297	462	1090
298	464	1088
299	465	1087
300	467	1085
301	469	1084
302	470	1082
303	472	1081
304	473	1079
305	475	1077
306	476	1076
307	478	1074
308	479	1073
309	481	1071
310	482	1069
311	484	1068
312	485	1066
313	487	1064
314	488	1062
315	490	1060
316	491	1059
317	493	1057
318	494	1056
319	496	1054
320	497	1052
321	499	1051
322	500	1049
323	502	1047
324	503	1046
325	505	1044
326	506	1042
327	508	1040
328	509	1039
329	511	1037
330	512	1036
331	514	1034
332	515	1032
333	517	1031
334	518	1029
335	520	1028
336	521	1026
337	523	1025
338	525	1023
339	526	1022
340	528	1020
341	529	1019
342	531	1017
343	533	1016
344	534	1015
345	536	1014
346	538	1013
347	540	1012
348	542	1011
349	544	1011
350	546	1011
351	548	1010
352	550	1008
353	552	1008
354	554	1007
355	556	1006
356	557	1004
357	559	1003
358	561	1002
359	563	1000
360	564	999
361	566	998
362	568	997
363	570	996
364	572	995
365	573	993
366	575	992
367	576	990
368	578	989
369	580	988
370	582	987
371	584	986
372	586	985
373	588	984
374	589	982
375	591	981
376	593	980
377	595	979
378	596	978
379	598	976
380	600	975
381	602	974
382	603	972
383	605	971
384	607	969
385	608	968
386	610	966
387	611	965
388	613	963
389	615	962
390	617	961
391	618	959
392	620	958
393	622	956
394	623	955
395	625	953
396	627	952
397	628	951
398	630	949
399	632	948
400	633	946
401	635	945
402	637	943
403	638	942
404	640	941
405	642	939
406	643	937
407	645	936
408	647	935
409	648	933
410	650	932
411	652	930
412	653	929
413	655	927
414	657	926
415	658	924
416	660	923
417	662	922
418	663	920
419	665	919
420	667	917
421	668	916
422	670	914
423	671	912
424	673	911
425	675	909
426	676	908
427	678	907
428	680	905
429	681	903
430	683	902
431	685	900
432	686	899
433	688	897
434	690	896
435	691	894
436	693	893
437	694	891
438	696	889
439	697	888
440	699	886
441	701	885
442	702	883
443	704	882
444	706	880
445	707	879
446	709	877
447	710	875
448	712	874
449	714	872
450	715	871
451	717	869
452	718	868
453	720	866
454	722	864
455	723	863
456	725	861
457	726	859
458	728	858
459	729	856
460	731	854
461	732	853
462	734	851
463	735	850
464	737	848
465	739	847
466	740	845
467	742	843
468	743	842
469	745	840
470	747	839
471	748	837
472	750	835
473	751	834
474	753	832
475	754	831
476	756	829
477	758	827
478	759	826
479	761	824
480	762	823
481	764	821
482	765	819
483	767	818
484	769	816
485	770	815
486	772	813
487	773	811
488	775	810
489	776	808
490	778	806
491	779	805
492	781	803
493	782	801
494	784	800
495	785	798
496	787	796
497	788	795
498	790	793
499	791	791
500	793	790
501	794	788
502	796	786
503	797	784
504	799	783
505	800	781
506	802	779
507	803	778
508	805	776
509	806	775
510	808	773
511	809	771
512	811	770
513	813	768
514	814	767
515	815	765
516	817	763
517	819	762
518	820	760
519	822	758
520	823	757
521	825	755
522	826	754
523	828	752
524	829	750
525	831	749
526	832	747
527	834	745
528	835	744
529	837	742
530	839	741
531	840	739
532	842	737
533	843	736
534	845	734
535	846	732
536	848	731
537	849	729
538	850	727
539	852	726
540	854	724
541	855	722
542	856	721
543	858	719
544	859	717
545	861	716
546	862	714
547	864	712
548	865	711
549	867	709
550	868	708
551	870	706
552	872	704
553	873	703
554	875	701
555	876	700
556	878	698
557	879	696
558	881	695
559	883	694
560	886	693
561	888	692
562	890	690
563	891	689
564	893	687
565	894	686
566	896	684
567	897	682
568	899	681
569	900	679
570	902	677
571	903	676
572	904	674
573	906	672
574	907	671
575	909	669
576	910	667
577	912	665
578	913	664
579	915	662
580	916	660
581	918	659
582	919	657
583	921	656
584	922	654
585	924	653
586	925	651
587	927	649
588	928	648
589	930	646
590	931	644
591	933	643
592	935	642
593	937	640
594	939	639
595	940	637
596	942	635
597	943	634
598	945	632
599	946	631
600	948	629
601	949	627
602	951	626
603	952	624
604	954	623
605	955	621
606	957	619
607	959	618
608	960	616
609	962	615
610	963	613
611	965	611
612	966	610
613	968	608
614	969	607
615	971	605
616	972	603
617	974	602
618	975	600
619	977	599
620	978	597
621	980	595
622	982	594
623	983	592
624	985	591
625	986	589
626	988	587
627	989	586
628	991	584
629	992	582
630	994	581
631	995	579
632	997	578
633	998	576
634	1000	574
635	1001	573
636	1003	571
637	1004	570
638	1006	568
639	1007	566
640	1009	565
641	1010	563
642	1012	562
643	1013	560
644	1015	558
645	1016	557
646	1018	555
647	1019	554
648	1021	552
649	1023	550
650	1024	549
651	1026	547
652	1027	546
653	1029	544
654	1030	542
655	1032	541
656	1033	539
657	1035	538
658	1036	536
659	1038	534
660	1039	533
661	1041	531
662	1042	530
663	1044	528
664	1045	526
665	1047	525
666	1048	523
667	1050	521
668	1051	520
669	1053	518
670	1054	517
671	1056	515
672	1057	513
673	1059	512
674	1060	510
675	1062	509
676	1063	507
677	1065	505
678	1066	504
679	1068	502
680	1069	501
681	1071	499
682	1072	497
683	1074	496
684	1075	494
685	1076	492
686	1078	491
687	1080	489
688	1081	488
689	1083	486
690	1084	485
691	1086	483
692	1087	481
693	1089	480
694	1090	478
695	1092	477
696	1094	475
697	1095	473
698	1096	472
699	1098	470
700	1100	469
701	1101	467
702	1102	465
703	1104	464
704	1105	462
705	1107	461
706	1108	459
707	1110	457
708	1111	456
709	1113	454
710	1115	453
711	1116	451
712	1118	450
713	1119	448
714	1121	446
715	1122	445
716	1124	443
717	1125	442
718	1127	440
719	1128	438
720	1130	437
721	1131	435
722	1132	434
723	1134	432
724	1135	430
725	1142	431
726	1144	429
727	1146	428
728	1147	426
729	1149	425
730	1151	423
731	1153	422
732	1154	420
733	1156	419
734	1157	417
735	1159	415
736	1161	414
737	1162	412
738	1164	411
739	1166	409
740	1167	408
741	1169	406
742	1170	404
743	1172	403
744	1173	401
745	1175	400
746	1176	398
747	1178	396
748	1179	395
749	1181	393
750	1182	392
751	1184	390
752	1185	388
753	1187	387
754	1188	385
755	1190	384
756	1192	382
757	1194	381
758	1196	379
759	1198	378
760	1200	377
761	1202	375
762	1204	374
763	1206	372
764	1208	371
765	1210	369
766	1212	368
767	1214	366
768	1215	365
769	1217	363
770	1219	362
771	1221	360
772	1223	359
773	1225	357
774	1227	356
775	1229	354
776	1231	353
777	1232	351
778	1234	350
779	1236	348
780	1238	347
781	1240	345
782	1242	344
783	1244	342
784	1245	341
785	1247	339
786	1248	338
787	1250	336
788	1252	334
789	1253	333
790	1255	331
791	1256	330
792	1258	328
793	1260	326
794	1261	325
795	1263	323
796	1264	322
797	1266	320
